link,season,ve
https://www.cdc.gov/mmwr/volumes/73/wr/mm7339a1.htm,2024/2025,0.35
"https://www.cdc.gov/mmwr/volumes/73/wr/mm7308a4.htm#:~:text=VE%20was%20calculated%20as%201,best%20way%20to%20prevent%20influenza.",2023/2024,0.45
https://www.cdc.gov/mmwr/volumes/72/wr/mm7208a1.htm,2022/2023,0.54
https://www.cdc.gov/mmwr/volumes/71/wr/mm7110a1.htm,2021/2022,0.16
nan,2020/2021,0
https://www.cdc.gov/mmwr/volumes/69/wr/mm6907a1.htm,2019/2020,0.45
https://www.cdc.gov/mmwr/volumes/68/wr/mm6806a2.htm,2018/2019,0.47
https://www.cdc.gov/mmwr/volumes/67/wr/mm6706a2.htm,2017/2018,0.67
https://www.cdc.gov/mmwr/volumes/66/wr/mm6606a3.htm,2016/2017,0.43
https://pmc.ncbi.nlm.nih.gov/articles/PMC5727917/,2015/2016,0.48
