region_type,region,year,week,total_specimens_clin,total_a,total_b,percent_positive,percent_a,percent_b,wk_date,total_specimens_pub,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,a_h5,epiweek,state
States,Alabama,2015,40,167.0,2.0,3.0,2.99,1.2,1.8,2015-10-04,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201540,al
States,Alabama,2015,49,277.0,3.0,1.0,1.44,1.08,0.36,2015-12-06,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201549,al
States,Alabama,2016,15,272.0,10.0,1.0,4.04,3.68,0.37,2016-04-10,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201615,al
States,Alabama,2016,24,70.0,2.0,0.0,2.86,2.86,0.0,2016-06-12,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201624,al
States,Alabama,2016,33,61.0,0.0,0.0,0.0,0.0,0.0,2016-08-14,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201633,al
States,Alabama,2016,39,100.0,1.0,0.0,1.0,1.0,0.0,2016-09-25,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201639,al
States,Alabama,2016,28,34.0,0.0,0.0,0.0,0.0,0.0,2016-07-10,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201628,al
States,Alabama,2016,21,122.0,0.0,0.0,0.0,0.0,0.0,2016-05-22,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201621,al
States,Alabama,2016,20,124.0,0.0,1.0,0.81,0.0,0.81,2016-05-15,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201620,al
States,Alabama,2016,14,270.0,19.0,1.0,7.41,7.04,0.37,2016-04-03,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201614,al
States,Alabama,2016,8,353.0,29.0,1.0,8.5,8.22,0.28,2016-02-21,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201608,al
States,Alabama,2016,4,267.0,3.0,2.0,1.87,1.12,0.75,2016-01-24,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201604,al
States,Alabama,2016,22,95.0,0.0,0.0,0.0,0.0,0.0,2016-05-29,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201622,al
States,Alabama,2016,31,53.0,0.0,0.0,0.0,0.0,0.0,2016-07-31,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201631,al
States,Alabama,2015,47,271.0,0.0,3.0,1.11,0.0,1.11,2015-11-22,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201547,al
States,Alabama,2016,35,51.0,0.0,0.0,0.0,0.0,0.0,2016-08-28,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201635,al
States,Alabama,2016,26,48.0,0.0,1.0,2.08,0.0,2.08,2016-06-26,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201626,al
States,Alabama,2016,7,296.0,18.0,3.0,7.09,6.08,1.01,2016-02-14,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201607,al
States,Alabama,2016,34,39.0,0.0,0.0,0.0,0.0,0.0,2016-08-21,256.0,59.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0,201634,al
