location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
Alabama,01,2010-01-02,0.8666666666666663,1027.7,2010,200952,52,2010-01-02,1025.9333333333334
Alaska,02,2010-01-02,-19.533333333333335,1021.2333333333332,2010,200952,52,2010-01-02,1018.0833333333333
Arizona,04,2010-01-02,13.0,1017.4333333333334,2010,200952,52,2010-01-02,1019.6500000000001
Arkansas,05,2010-01-02,-1.5250000000000001,1029.5,2010,200952,52,2010-01-02,1030.0
California,06,2010-01-02,14.083333333333332,1019.7333333333332,2010,200952,52,2010-01-02,1021.5666666666666
Colorado,08,2010-01-02,-1.7166666666666668,1019.6333333333333,2010,200952,52,2010-01-02,1022.2333333333333
Connecticut,09,2010-01-02,-0.9833333333333334,1002.5666666666666,2010,200952,52,2010-01-02,1007.1166666666666
Delaware,10,2010-01-02,-0.55,1009.7,2010,200952,52,2010-01-02,1011.55
Florida,12,2010-01-02,12.883333333333333,1020.5666666666666,2010,200952,52,2010-01-02,1018.6333333333332
Georgia,13,2010-01-02,2.9833333333333334,1023.4,2010,200952,52,2010-01-02,1021.3833333333334
Hawaii,15,2010-01-02,22.76666666666667,1012.3666666666667,2010,200952,52,2010-01-02,1012.9166666666667
Idaho,16,2010-01-02,3.0166666666666666,1025.5,2010,200952,52,2010-01-02,1023.6499999999999
Illinois,17,2010-01-02,-14.799999999999999,1031.8999999999999,2010,200952,52,2010-01-02,1029.7166666666667
Indiana,18,2010-01-02,-9.55,1029.6666666666665,2010,200952,52,2010-01-02,1027.9666666666667
Iowa,19,2010-01-02,-19.516666666666666,1035.7666666666667,2010,200952,52,2010-01-02,1033.9666666666667
Kansas,20,2010-01-02,-11.966666666666667,1034.2333333333333,2010,200952,52,2010-01-02,1034.0166666666667
Kentucky,21,2010-01-02,-6.449999999999999,1029.3,2010,200952,52,2010-01-02,1027.55
Louisiana,22,2010-01-02,5.95,1027.8,2010,200952,52,2010-01-02,1027.65
Maine,23,2010-01-02,-3.5250000000000004,,2010,200952,52,2010-01-02,1011.8
Maryland,24,2010-01-02,-1.7999999999999998,1012.7333333333332,2010,200952,52,2010-01-02,1013.4666666666666
Massachusetts,25,2010-01-02,-2.383333333333333,999.3333333333334,2010,200952,52,2010-01-02,1005.3166666666666
Michigan,26,2010-01-02,-7.916666666666666,1025.55,2010,200952,52,2010-01-02,1022.7916666666667
Minnesota,27,2010-01-02,-20.48333333333333,1037.5333333333335,2010,200952,52,2010-01-02,1035.2166666666667
Mississippi,28,2010-01-02,3.6333333333333333,1028.6333333333334,2010,200952,52,2010-01-02,1027.5666666666666
Missouri,29,2010-01-02,-10.366666666666667,1033.6333333333332,2010,200952,52,2010-01-02,1033.1
Montana,30,2010-01-02,-2.55,1020.0,2010,200952,52,2010-01-02,1021.2333333333333
Nebraska,31,2010-01-02,-17.18333333333333,1036.4666666666667,2010,200952,52,2010-01-02,1036.2333333333333
Nevada,32,2010-01-02,4.65,1023.1666666666666,2010,200952,52,2010-01-02,1024.6166666666666
New Hampshire,33,2010-01-02,-3.183333333333333,999.1,2010,200952,52,2010-01-02,1005.7166666666667
New Jersey,34,2010-01-02,-0.5,1005.8666666666667,2010,200952,52,2010-01-02,1008.9833333333333
New Mexico,35,2010-01-02,-0.5,1021.7,2010,200952,52,2010-01-02,1025.35
New York,36,2010-01-02,-4.349999999999999,1011.9,2010,200952,52,2010-01-02,1012.3333333333334
North Carolina,37,2010-01-02,1.1500000000000006,1018.7333333333332,2010,200952,52,2010-01-02,1017.1166666666666
North Dakota,38,2010-01-02,-26.450000000000003,1036.25,2010,200952,52,2010-01-02,1037.8
Ohio,39,2010-01-02,-6.466666666666667,1025.1333333333334,2010,200952,52,2010-01-02,1023.2833333333334
Oklahoma,40,2010-01-02,-2.983333333333334,1029.3333333333333,2010,200952,52,2010-01-02,1029.9833333333333
Oregon,41,2010-01-02,8.966666666666665,1025.3,2010,200952,52,2010-01-02,1020.4166666666666
Pennsylvania,42,2010-01-02,-2.533333333333333,1012.6,2010,200952,52,2010-01-02,1013.4833333333333
Rhode Island,44,2010-01-02,-1.05,998.2000000000002,2010,200952,52,2010-01-02,1004.8000000000001
South Carolina,45,2010-01-02,5.166666666666667,1019.8000000000001,2010,200952,52,2010-01-02,1017.9666666666667
South Dakota,46,2010-01-02,-20.416666666666664,1032.5666666666666,2010,200952,52,2010-01-02,1034.4333333333334
Tennessee,47,2010-01-02,-2.216666666666667,1028.9666666666665,2010,200952,52,2010-01-02,1027.35
Texas,48,2010-01-02,5.916666666666667,1026.1000000000001,2010,200952,52,2010-01-02,1027.8000000000002
Utah,49,2010-01-02,-0.25000000000000006,1025.8,2010,200952,52,2010-01-02,1026.4499999999998
Vermont,50,2010-01-02,-3.7166666666666663,1005.4,2010,200952,52,2010-01-02,1008.5
Virginia,51,2010-01-02,1.8833333333333333,1013.2333333333332,2010,200952,52,2010-01-02,1013.2666666666667
Washington,53,2010-01-02,6.666666666666666,1022.7333333333335,2010,200952,52,2010-01-02,1017.1166666666668
West Virginia,54,2010-01-02,-4.366666666666667,1022.4499999999999,2010,200952,52,2010-01-02,1021.675
Wisconsin,55,2010-01-02,-13.549999999999999,1031.9666666666667,2010,200952,52,2010-01-02,1029.3666666666668
Wyoming,56,2010-01-02,-0.5750000000000001,1018.3,2010,200952,52,2010-01-02,1020.475
Alabama,01,2010-01-09,-4.0095238095238095,1030.466666666667,2010,201001,1,2010-01-09,1026.2809523809524
Alaska,02,2010-01-09,-10.085714285714285,1005.0333333333333,2010,201001,1,2010-01-09,1014.0809523809522
Arizona,04,2010-01-09,13.5,1020.9,2010,201001,1,2010-01-09,1017.947619047619
Arkansas,05,2010-01-09,-7.128571428571429,1036.1,2010,201001,1,2010-01-09,1030.7642857142857
California,06,2010-01-09,13.538095238095238,1020.6666666666666,2010,201001,1,2010-01-09,1018.7952380952381
Colorado,08,2010-01-09,-5.233333333333333,1025.9666666666667,2010,201001,1,2010-01-09,1026.6380952380953
Connecticut,09,2010-01-09,-3.671428571428571,1016.7333333333332,2010,201001,1,2010-01-09,1006.552380952381
Delaware,10,2010-01-09,-2.2714285714285714,1020.0,2010,201001,1,2010-01-09,1011.5500000000001
Florida,12,2010-01-09,6.504761904761906,1022.2000000000002,2010,201001,1,2010-01-09,1021.2190476190477
Georgia,13,2010-01-09,-1.857142857142857,1026.0666666666666,2010,201001,1,2010-01-09,1022.3761904761906
Hawaii,15,2010-01-09,23.823809523809526,1012.6,2010,201001,1,2010-01-09,1012.5571428571428
Idaho,16,2010-01-09,-1.3476190476190477,1032.0,2010,201001,1,2010-01-09,1029.0857142857142
Illinois,17,2010-01-09,-10.70952380952381,1033.2666666666667,2010,201001,1,2010-01-09,1025.9333333333332
