"","model","target_end_date","horizon","location","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","interval_coverage_90","ae_median"
"1","with_signals","2023-10-07",0,"US",117.289565217391,0,6.39130434782609,110.898260869565,-0.2,TRUE,TRUE,93
"2","with_signals","2023-10-14",1,"US",95.8343478260869,0,0.695652173913043,95.1386956521739,-0.1,TRUE,TRUE,16
"3","with_signals","2023-10-21",2,"US",114.370434782609,0,1.52173913043478,112.848695652174,-0.1,TRUE,TRUE,35
"4","with_signals","2023-10-28",3,"US",155.535217391304,14.2608695652174,0,141.274347826087,0.3,TRUE,TRUE,162
"5","with_signals","2023-11-04",4,"US",192.689565217391,21.1304347826087,0,171.559130434783,0.3,TRUE,TRUE,212
"6","with_signals","2023-11-11",5,"US",219.570869565217,0,14.3913043478261,205.179565217391,-0.2,TRUE,TRUE,185
"7","with_signals","2023-11-18",6,"US",278.550434782609,0,11.7391304347826,266.811304347826,-0.2,TRUE,TRUE,192
"8","with_signals","2023-11-25",7,"US",379.287391304348,0,66.5652173913043,312.722173913043,-0.3,TRUE,TRUE,527
"9","with_signals","2023-12-02",8,"US",710.495217391304,0,333.260869565217,377.234347826087,-0.6,FALSE,TRUE,1373
"10","with_signals","2023-12-09",9,"US",1109.05217391304,0,668.478260869565,440.573913043478,-0.7,FALSE,TRUE,2167
"11","with_signals","2023-12-16",10,"US",2194.48086956522,0,1662.17391304348,532.306956521739,-0.8,FALSE,TRUE,3980
"12","with_signals","2023-12-23",11,"US",5817.19304347826,0,5218.08695652174,599.106086956522,-0.98,FALSE,FALSE,8618
"13","with_signals","2023-12-30",12,"US",10564.6482608696,0,9911.34782608696,653.300434782609,-1,FALSE,FALSE,13787
"14","with_signals","2024-01-06",13,"US",7399.80304347826,0,6675.52173913043,724.281304347826,-0.98,FALSE,FALSE,10793
"15","with_signals","2024-01-13",14,"US",3970.08391304348,0,3216.69565217391,753.388260869565,-0.9,FALSE,TRUE,6822
"16","with_signals","2024-01-20",15,"US",1948.99608695652,0,1163.21739130435,785.778695652174,-0.7,FALSE,TRUE,3824
"17","with_signals","2024-01-27",16,"US",1697.09652173913,0,899,798.09652173913,-0.6,FALSE,TRUE,3299
"18","with_signals","2024-02-03",17,"US",1204.08913043478,0,436.826086956522,767.263043478261,-0.5,TRUE,TRUE,2165
"19","with_signals","2024-02-10",18,"US",1173.93695652174,0,426.782608695652,747.154347826087,-0.5,TRUE,TRUE,2178
"20","with_signals","2024-02-17",19,"US",1181.56869565217,0,482.869565217391,698.699130434783,-0.5,TRUE,TRUE,2228
"21","with_signals","2024-02-24",20,"US",1279.65652173913,0,635.913043478261,643.74347826087,-0.6,FALSE,TRUE,2464
"22","with_signals","2024-03-02",21,"US",1496.6647826087,0,902.086956521739,594.577826086957,-0.7,FALSE,TRUE,2936
"23","with_signals","2024-03-09",22,"US",1235.24695652174,0,697.04347826087,538.20347826087,-0.6,FALSE,TRUE,2448
"24","with_signals","2024-03-16",23,"US",604.226086956522,0,123.217391304348,481.008695652174,-0.3,TRUE,TRUE,922
"25","with_signals","2024-03-23",24,"US",452.919565217391,0,29.6521739130435,423.267391304348,-0.2,TRUE,TRUE,400
"26","with_signals","2024-03-30",25,"US",430.045652173913,0,52.8695652173913,377.176086956522,-0.3,TRUE,TRUE,504
"27","with_signals","2024-04-06",26,"US",400.98,0,81.1304347826087,319.849565217391,-0.3,TRUE,TRUE,610
