model,location,target,target_end_date,horizon,output_type,quantile_level,predicted,observed
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.01,53,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.025,72,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.05,89,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.1,112,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.15,133,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.2,151,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.25,169,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.3,187,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.35,204,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.4,223,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.45,242,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.5,264,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.55,285,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.6,311,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.65,340,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.7,374,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.75,412,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.8,458,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.85,521,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.9,601,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.95,698,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.975,758,1110.0
with_signals,US,wk inc flu hosp,2023-10-07,0,quantile,0.99,832,1110.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.01,115,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.025,137,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.05,160,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.1,190,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.15,214,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.2,234,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.25,254,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.3,272,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.35,291,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.4,310,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.45,329,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.5,351,1215.0
with_signals,US,wk inc flu hosp,2023-10-14,1,quantile,0.55,372,1215.0
