,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.010,322.0
1,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.025,380.0
2,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.050,450.0
3,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.100,536.0
4,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.150,604.0
5,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.200,666.0
6,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.250,726.0
7,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.300,785.0
8,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.350,842.0
9,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.400,899.0
10,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.450,957.0
11,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.500,1017.0
12,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.550,1083.0
13,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.600,1150.0
14,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.650,1225.0
15,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.700,1320.0
16,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.750,1426.0
17,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.800,1547.0
18,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.850,1691.0
19,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.900,1914.0
20,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.950,2257.0
21,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.975,2590.0
22,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.990,2925.0
23,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.010,505.0
24,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.025,578.0
25,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.050,655.0
26,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.100,741.0
27,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.150,812.0
28,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.200,874.0
29,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.250,931.0
30,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.300,984.0
31,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.350,1035.0
32,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.400,1091.0
33,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.450,1145.0
34,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.500,1199.0
35,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.550,1255.0
36,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.600,1315.0
37,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.650,1375.0
38,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.700,1448.0
39,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.750,1527.0
40,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.800,1619.0
41,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.850,1734.0
42,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.900,1900.0
43,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.950,2165.0
44,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.975,2437.0
45,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.990,2767.0
46,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.010,613.0
47,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.025,703.0
48,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.050,788.0
49,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.100,904.0
