,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,peak inc flu hosp,,,US,quantile,0.010,6724
1,2023-10-07,peak inc flu hosp,,,US,quantile,0.025,7287
2,2023-10-07,peak inc flu hosp,,,US,quantile,0.050,7776
3,2023-10-07,peak inc flu hosp,,,US,quantile,0.100,8419
4,2023-10-07,peak inc flu hosp,,,US,quantile,0.150,8904
5,2023-10-07,peak inc flu hosp,,,US,quantile,0.200,9349
6,2023-10-07,peak inc flu hosp,,,US,quantile,0.250,9743
7,2023-10-07,peak inc flu hosp,,,US,quantile,0.300,10101
8,2023-10-07,peak inc flu hosp,,,US,quantile,0.350,10423
9,2023-10-07,peak inc flu hosp,,,US,quantile,0.400,10770
10,2023-10-07,peak inc flu hosp,,,US,quantile,0.450,11115
11,2023-10-07,peak inc flu hosp,,,US,quantile,0.500,11462
12,2023-10-07,peak inc flu hosp,,,US,quantile,0.550,11791
13,2023-10-07,peak inc flu hosp,,,US,quantile,0.600,12161
14,2023-10-07,peak inc flu hosp,,,US,quantile,0.650,12605
15,2023-10-07,peak inc flu hosp,,,US,quantile,0.700,13050
16,2023-10-07,peak inc flu hosp,,,US,quantile,0.750,13559
17,2023-10-07,peak inc flu hosp,,,US,quantile,0.800,14126
18,2023-10-07,peak inc flu hosp,,,US,quantile,0.850,14818
19,2023-10-07,peak inc flu hosp,,,US,quantile,0.900,15729
20,2023-10-07,peak inc flu hosp,,,US,quantile,0.950,17464
21,2023-10-07,peak inc flu hosp,,,US,quantile,0.975,19081
22,2023-10-07,peak inc flu hosp,,,US,quantile,0.990,20985
