,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.010,142
1,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.025,169
2,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.050,199
3,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.100,237
4,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.150,266
5,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.200,294
6,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.250,321
7,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.300,346
8,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.350,371
9,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.400,396
10,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.450,421
11,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.500,446
12,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.550,476
13,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.600,504
14,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.650,539
15,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.700,578
16,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.750,625
17,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.800,677
18,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.850,738
19,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.900,833
20,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.950,984
21,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.975,1137
22,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.990,1278
23,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.010,277
24,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.025,318
25,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.050,361
26,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.100,407
27,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.150,445
28,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.200,479
29,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.250,511
30,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.300,538
31,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.350,567
32,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.400,598
33,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.450,626
34,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.500,656
35,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.550,686
36,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.600,718
37,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.650,752
38,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.700,791
39,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.750,836
40,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.800,885
41,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.850,947
42,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.900,1034
43,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.950,1178
44,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.975,1328
45,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.990,1502
46,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.010,415
47,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.025,477
