,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.010,65.0
1,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.025,86.0
2,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.050,106.0
3,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.100,135.0
4,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.150,159.0
5,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.200,182.0
6,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.250,202.0
7,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.300,223.0
8,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.350,245.0
9,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.400,267.0
10,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.450,290.0
11,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.500,315.0
12,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.550,341.0
13,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.600,371.0
14,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.650,408.0
15,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.700,446.0
16,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.750,491.0
17,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.800,547.0
18,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.850,623.0
19,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.900,712.0
20,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.950,835.0
21,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.975,923.0
22,2023-10-07,wk inc flu hosp,0.0,2023-10-07,US,quantile,0.990,1055.0
23,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.010,92.0
24,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.025,118.0
25,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.050,141.0
26,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.100,173.0
27,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.150,201.0
28,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.200,224.0
29,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.250,248.0
30,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.300,271.0
31,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.350,295.0
32,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.400,319.0
33,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.450,347.0
34,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.500,375.0
35,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.550,406.0
36,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.600,439.0
37,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.650,482.0
38,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.700,525.0
39,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.750,583.0
40,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.800,659.0
41,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.850,762.0
42,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.900,929.0
43,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.950,1237.0
44,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.975,1621.0
45,2023-10-07,wk inc flu hosp,1.0,2023-10-14,US,quantile,0.990,2257.0
46,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.010,86.0
47,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.025,110.0
48,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.050,135.0
49,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.100,175.0
50,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.150,209.0
51,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.200,242.0
52,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.250,275.0
53,2023-10-07,wk inc flu hosp,2.0,2023-10-21,US,quantile,0.300,311.0
