,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,peak inc flu hosp,,,US,quantile,0.010,822
1,2023-10-07,peak inc flu hosp,,,US,quantile,0.025,950
2,2023-10-07,peak inc flu hosp,,,US,quantile,0.050,1104
3,2023-10-07,peak inc flu hosp,,,US,quantile,0.100,1341
4,2023-10-07,peak inc flu hosp,,,US,quantile,0.150,1544
5,2023-10-07,peak inc flu hosp,,,US,quantile,0.200,1764
6,2023-10-07,peak inc flu hosp,,,US,quantile,0.250,1997
7,2023-10-07,peak inc flu hosp,,,US,quantile,0.300,2291
8,2023-10-07,peak inc flu hosp,,,US,quantile,0.350,2703
9,2023-10-07,peak inc flu hosp,,,US,quantile,0.400,3391
10,2023-10-07,peak inc flu hosp,,,US,quantile,0.450,5085
11,2023-10-07,peak inc flu hosp,,,US,quantile,0.500,9566
12,2023-10-07,peak inc flu hosp,,,US,quantile,0.550,15216
13,2023-10-07,peak inc flu hosp,,,US,quantile,0.600,21513
14,2023-10-07,peak inc flu hosp,,,US,quantile,0.650,28804
15,2023-10-07,peak inc flu hosp,,,US,quantile,0.700,37030
16,2023-10-07,peak inc flu hosp,,,US,quantile,0.750,46475
17,2023-10-07,peak inc flu hosp,,,US,quantile,0.800,56522
18,2023-10-07,peak inc flu hosp,,,US,quantile,0.850,69724
19,2023-10-07,peak inc flu hosp,,,US,quantile,0.900,84496
20,2023-10-07,peak inc flu hosp,,,US,quantile,0.950,109782
21,2023-10-07,peak inc flu hosp,,,US,quantile,0.975,134028
22,2023-10-07,peak inc flu hosp,,,US,quantile,0.990,163949
