,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-10-07,0.0803999975323677
1,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-10-14,0.0348999984562397
2,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-10-21,0.02449999935925007
3,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-10-28,0.015799999237060547
4,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-11-04,0.017099998891353607
5,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-11-11,0.023399999365210533
6,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-11-18,0.029500000178813934
7,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-11-25,0.03399999812245369
8,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-12-02,0.03610000014305115
9,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-12-09,0.0364999994635582
10,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-12-16,0.032899998128414154
11,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-12-23,0.03139999881386757
12,2023-10-07,peak week inc flu hosp,,,US,pmf,2023-12-30,0.03579999879002571
13,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-01-06,0.03700000047683716
14,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-01-13,0.033900000154972076
15,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-01-20,0.03059999831020832
16,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-01-27,0.0279999990016222
17,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-02-03,0.028199998661875725
18,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-02-10,0.025599999353289604
19,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-02-17,0.02459999918937683
20,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-02-24,0.02319999970495701
21,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-03-02,0.023599999025464058
22,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-03-09,0.020999999716877937
23,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-03-16,0.023899998515844345
24,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-03-23,0.018299998715519905
25,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-03-30,0.019199999049305916
26,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-04-06,0.021699998527765274
27,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-04-13,0.020600000396370888
28,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-04-20,0.024399999529123306
29,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-04-27,0.028999999165534973
30,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-05-04,0.031700000166893005
31,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-05-11,0.031199999153614044
32,2023-10-07,peak week inc flu hosp,,,US,pmf,2024-05-18,0.07199999690055847
