,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
0,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.010,512
1,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.025,607
2,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.050,718
3,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.100,860
4,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.150,970
5,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.200,1079
6,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.250,1170
7,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.300,1268
8,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.350,1364
9,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.400,1461
10,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.450,1566
11,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.500,1670
12,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.550,1786
13,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.600,1902
14,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.650,2035
15,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.700,2194
16,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.750,2373
17,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.800,2592
18,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.850,2870
19,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.900,3219
20,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.950,3850
21,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.975,4501
22,2023-10-07,wk inc flu hosp,0,2023-10-07,US,quantile,0.990,5208
23,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.010,442
24,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.025,533
25,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.050,633
26,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.100,777
27,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.150,903
28,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.200,1021
29,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.250,1135
30,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.300,1248
31,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.350,1373
32,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.400,1513
33,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.450,1651
34,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.500,1811
35,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.550,1997
36,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.600,2213
37,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.650,2455
38,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.700,2770
39,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.750,3182
40,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.800,3726
41,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.850,4489
42,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.900,5791
43,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.950,8516
44,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.975,12320
45,2023-10-07,wk inc flu hosp,1,2023-10-14,US,quantile,0.990,19435
46,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.010,243
47,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.025,318
48,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.050,391
49,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.100,524
50,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.150,654
51,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.200,794
52,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.250,941
53,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.300,1096
54,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.350,1287
55,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.400,1494
56,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.450,1732
57,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.500,2010
58,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.550,2367
59,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.600,2792
60,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.650,3328
61,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.700,4070
62,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.750,5073
63,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.800,6734
64,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.850,9053
65,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.900,13918
66,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.950,25292
67,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.975,44804
68,2023-10-07,wk inc flu hosp,2,2023-10-21,US,quantile,0.990,82137
69,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.010,123
70,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.025,175
71,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.050,240
72,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.100,360
73,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.150,487
74,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.200,640
75,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.250,798
76,2023-10-07,wk inc flu hosp,3,2023-10-28,US,quantile,0.300,981
